x,y
494,117
493,116
492,115
490,113
489,112
488,110
487,109
486,108
485,106
484,105
483,104
482,102
481,101
480,100
479,98
477,97
476,96
475,94
475,93
473,91
472,91
472,89
470,88
469,87
468,86
468,85
466,83
466,82
464,81
464,80
462,78
462,78
460,76
460,75
459,74
458,73
457,72
456,70
455,70
454,69
453,68
452,67
452,66
450,64
449,63
448,62
447,61
446,60
446,59
445,58
444,57
443,56
442,55
441,54
440,53
440,52
438,51
438,50
436,49
436,48
435,48
434,47
433,46
432,45
432,44
431,43
430,42
428,41
428,40
427,40
426,39
425,38
425,38
425,37
424,36
424,36
425,38
426,38
425,38
425,37
424,38
424,38
424,38
424,38
425,38
424,38
424,38
425,37
424,37
425,38
425,38
424,37
425,38
424,38
424,37
425,38
424,37
424,37
425,37
425,38
424,38
424,37
424,38
425,38
424,38
424,38
424,37
424,37
425,38
425,38
424,38
425,37
424,37
424,37
425,37
424,38
424,38
425,38
425,38
424,37
424,37
424,37
425,38
424,38
