x,y
530,182
530,181
530,180
529,179
529,178
527,177
528,176
527,174
526,173
525,173
525,171
524,170
523,169
523,168
525,167
521,166
521,164
521,163
520,163
518,162
519,160
518,160
517,159
517,157
517,156
514,155
515,154
515,153
513,152
514,151
513,150
512,150
512,148
511,147
510,147
510,145
510,144
510,144
508,143
509,142
509,141
506,140
507,139
507,138
505,137
505,136
505,135
502,134
502,133
502,133
503,131
501,131
501,130
503,129
500,128
500,127
498,126
496,126
496,124
497,124
497,123
498,122
495,121
494,120
495,119
494,119
493,118
494,117
493,116
495,115
491,114
490,113
492,113
489,112
491,111
489,110
489,109
488,109
489,108
487,107
486,106
485,105
485,105
484,104
481,103
483,102
479,102
479,101
478,100
478,99
477,98
477,98
475,97
475,96
473,95
470,94
470,93
467,92
468,92
467,91
465,91
466,91
466,91
466,91
466,91
465,91
466,91
465,90
465,91
465,91
466,91
468,91
466,91
464,90
464,90
463,89
463,89
465,90
463,89
462,88
462,88
464,90
464,89
463,89
461,88
461,88
464,89
462,88
461,87
462,88
457,85
459,87
461,87
459,86
460,86
458,85
458,86
458,85
458,85
457,85
457,84
456,84
455,84
455,83
455,83
454,82
454,82
454,82
452,81
452,81
452,80
451,80
450,80
450,79
450,79
450,79
448,78
451,78
448,77
448,77
450,76
449,76
446,76
446,75
446,75
446,74
447,74
444,73
444,73
444,72
444,72
444,72
442,71
442,71
442,70
442,70
442,69
442,69
440,69
440,68
440,68
440,68
440,68
440,68
441,68
441,68
439,68
440,68
441,68
441,68
441,68
441,68
440,68
438,68
440,67
441,68
440,68
441,68
440,68
438,68
438,67
440,68
441,68
438,67
441,68
441,68
440,68
440,68
441,68
439,68
441,68
440,68
438,68
439,67
441,68
439,68
441,68
439,68
439,67
441,68
438,67
