x,y
590,252
590,252
590,252
590,252
590,252
590,252
590,252
590,252
590,252
590,252
590,252
590,252
590,252
590,252
590,252
590,252
590,252
590,251
590,251
589,251
589,251
589,250
589,250
588,249
588,248
588,247
587,247
587,246
586,245
586,244
585,243
585,242
584,241
584,240
583,239
582,238
582,236
581,235
580,234
580,232
579,231
578,230
578,228
577,227
576,225
575,224
574,222
573,220
573,219
572,217
571,215
570,214
569,212
568,211
567,208
566,207
565,205
565,204
563,201
562,200
562,198
561,197
559,194
559,193
558,191
557,190
556,188
554,186
554,184
553,183
552,181
550,179
550,177
548,176
548,174
546,172
546,170
544,169
543,167
542,165
541,163
540,161
539,160
538,158
537,156
536,154
535,153
533,151
533,149
531,147
531,146
529,144
529,143
527,141
526,139
525,137
524,136
523,134
522,132
521,130
520,129
519,128
518,126
517,124
516,122
515,121
514,119
513,118
512,116
511,115
509,113
509,111
507,110
507,108
505,107
505,106
503,104
503,103
501,101
500,100
499,98
498,97
497,96
496,94
495,93
494,91
493,89
492,88
491,87
490,86
489,84
488,83
487,81
486,80
485,79
484,77
483,76
482,75
481,73
480,73
479,71
